noise_level,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,Classification_approx,Classification_exact,ClassificationTrue
0.0,-2.0088459417430112e-05,-4.4042885132676046e-05,-0.00018375744730610713,-0.035855902953785816,nonunique,nonunique,unique
1e-10,-2.017173964646527e-05,-4.417219483060924e-05,-0.00018373735959295974,-0.0358559691340358,nonunique,nonunique,unique
1e-09,-2.09246067826425e-05,-4.5454717917732216e-05,-0.00018344914707829849,-0.035856673625405566,nonunique,nonunique,unique
1e-08,-2.777738723633788e-05,-5.810250818077533e-05,-0.0001787999540267633,-0.03586288980585059,nonunique,nonunique,unique
1e-07,-9.333827065759991e-05,-0.00018095358463065357,-0.00012276922247669375,-0.03591533903644227,nonunique,nonunique,unique
1e-06,-0.0007267397959402846,-0.0008592587832492731,0.00047616642764615404,-0.036481479200712465,unique,nonunique,unique
1e-05,-0.004965936463132592,-0.005243081737324559,0.004752465747655794,-0.04607881494906682,unique,nonunique,unique
0.0001,-0.010517072003221804,-0.014230422277205702,0.013379347972191268,-0.19926400021643698,unique,nonunique,unique
0.001,-0.005735063993840432,-0.02412616392153586,0.023154992781951763,-0.7131351033230966,unique,nonunique,unique
0.01,2.6602325355372988e-05,-0.009667310621915365,0.00936409942033037,-0.7353262371102531,unique,nonunique,unique
