,noise_level,order,ratio,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,sv_max,sv_min,C,C1,C2
0,0.0,2.0,0.9935680271887096,0.3299258694809374,0.3309764685495212,0.0028582557134639083,0.0004800446857648537,70.88184995793331,70.42593982618992,35.440924978966656,106.32277493689998,35.21296991309496
1,0.0,3.0,0.9951417249740158,0.33078752417564455,0.33115708440622377,0.000906642158357294,7.270442183210901e-05,70.88255720567882,70.53819024822857,35.440924978966656,106.32277493689998,35.21296991309496
2,0.0,4.0,0.9951203559446956,0.33106160988051025,0.33118890793480593,0.0002879715786443582,9.791139035289736e-07,70.88328176567424,70.5373965811859,35.440924978966656,106.32277493689998,35.21296991309496
3,0.0,5.0,0.995123866035287,0.3311487436803503,0.33118912297123165,9.150539618616455e-05,4.945017419534717e-07,70.88328460774028,70.53764821613406,35.440924978966656,106.32277493689998,35.21296991309496
4,0.0,6.0,0.9951238336800738,0.3311764390088566,0.3311893414463441,2.908050858839583e-05,2.1407002189285914e-09,70.88328611065661,70.53764741827814,35.440924978966656,106.32277493689998,35.21296991309496
5,0.0,7.0,0.995123838373927,0.33118524140340516,0.3311893407171219,9.242208986894023e-06,3.78409258324418e-09,70.88328611263672,70.53764775296433,35.440924978966656,106.32277493689998,35.21296991309496
6,0.0,8.0,0.9951238381882317,0.33118803901241617,0.3311893423940822,2.937348317367362e-06,4.854989841809448e-12,70.88328611571323,70.53764774286314,35.440924978966656,106.32277493689998,35.21296991309496
7,0.0,9.0,0.9951238382204977,0.33118892815338913,0.33118934238249387,9.33548706751348e-07,3.097084416478165e-11,70.88328611574961,70.53764774518646,35.440924978966656,106.32277493689998,35.21296991309496
8,1e-10,2.0,0.9935680271907881,0.32992586930176604,0.3309764681862779,0.002858256121909221,0.0004800455069904004,70.88184995796092,70.42593982636468,35.44092497898046,106.32277493694139,35.21296991318234
9,1e-10,3.0,0.995141724975173,0.330787523609675,0.3311570819800171,0.0009066434384916812,7.270989221128588e-05,70.8825572056875,70.53819024831924,35.44092497898046,106.32277493694139,35.21296991318234
10,1e-10,4.0,0.9951203559423982,0.33106160809751833,0.33118890738941104,0.0002879756014867048,9.803445830227759e-07,70.88328176566256,70.53739658101144,35.44092497898046,106.32277493694139,35.21296991318234
11,1e-10,5.0,0.9951238660259835,0.33114873806842404,0.331189116758745,9.151804800525855e-05,5.085039298416301e-07,70.88328460769641,70.53764821543093,35.44092497898046,106.32277493694139,35.21296991318234
12,1e-10,6.0,0.995123833661033,0.33117642135997105,0.33118934077712714,2.91202871851953e-05,3.6504248486946864e-09,70.88328611055618,70.53764741682852,35.44092497898046,106.32277493694139,35.21296991318234
13,1e-10,7.0,0.9951238383414327,0.33118518620378823,0.33118932396424505,9.366612806070124e-06,4.154033858662314e-08,70.88328611244579,70.53764775047102,35.44092497898046,106.32277493694139,35.21296991318234
14,1e-10,8.0,0.9951238381368592,0.33118787453745974,0.3311893416310728,3.3080176437808645e-06,1.7259526703680519e-09,70.88328611535518,70.53764773886539,35.44092497898046,106.32277493694139,35.21296991318234
15,1e-10,9.0,0.9951238381477449,0.33118855031109984,0.33118929326952673,1.7850677350517065e-06,1.1071470070854488e-07,70.88328611506287,70.53764773934611,35.44092497898046,106.32277493694139,35.21296991318234
16,1e-09,2.0,0.9935680271621726,0.3299258676736098,0.3309764649016201,0.002858259797586226,0.0004800528973348255,70.88184995781292,70.42593982418931,35.44092497890646,106.32277493671938,35.21296991209466
17,1e-09,3.0,0.9951417249618912,0.33078751850069094,0.3311570601304169,0.00090665495854624,7.275912104214385e-05,70.88255720573129,70.53819024742137,35.44092497890646,106.32277493671938,35.21296991209466
18,1e-09,4.0,0.9951203559527285,0.3310615920374416,0.33118890246471006,0.0002880118011530697,9.91421539387626e-07,70.88328176584497,70.5373965819252,35.44092497890646,106.32277493671938,35.21296991209466
19,1e-09,5.0,0.995123866075691,0.3311486875849094,0.3311890608345622,9.163182514122469e-05,6.345146957484919e-07,70.88328460790989,70.53764821916681,35.44092497890646,106.32277493671938,35.21296991209466
20,1e-09,6.0,0.9951238337487396,0.3311762635906981,0.3311893347105383,2.9475846057690363e-05,1.7300738087657828e-08,70.88328611037802,70.53764742286816,35.44092497890646,106.32277493671938,35.21296991209466
21,1e-09,7.0,0.995123838452472,0.33118471899601254,0.33118917318648877,1.0419529655400403e-05,3.8131537583050096e-07,70.88328611131679,70.53764775721837,35.44092497890646,106.32277493671938,35.21296991209466
22,1e-09,8.0,0.9951238382443124,0.33118684109978425,0.3311893347479592,5.6370036778957425e-06,1.7216405501598843e-08,70.88328611256603,70.53764774370647,35.44092497890646,106.32277493671938,35.21296991209466
23,1e-09,9.0,0.9951238382229176,0.33118716770757894,0.33118885127859293,4.900942232719429e-06,1.1067761144318658e-06,70.8832861096906,70.53764773932853,35.44092497890646,106.32277493671938,35.21296991209466
24,1e-08,2.0,0.9935680272843364,0.32992585324322254,0.3309764356609054,0.0028582926593829616,0.00048011897119290824,70.8818499683238,70.42593984329179,35.4409249841619,106.3227749524857,35.21296992164589
