,noise_level,order,ratio,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,sv_max,sv_min,C,C1,C2
0,0.0,2.0,1.0249517829096268e-15,0.0,0.0,2.004917255167179e-06,0.022976381596133917,203581.51070212672,2.0866123236158003e-10,101790.75535106336,305372.2660531901,0.01
1,0.0,4.0,1.4828046545788622e-15,0.0,0.0,4.0916613384176187e-07,0.00018712642671780746,165418.3626664042,2.452831181145584e-10,101790.75535106336,305372.2660531901,0.01
2,0.0,6.0,1.8836714509917408e-15,4.9124965581160926e-09,0.0,8.350326542685697e-08,1.6697661334716957e-06,134885.3925769446,2.540797631530038e-10,101790.75535106336,305372.2660531901,0.01
3,0.0,8.0,2.4258170322805186e-15,2.7066422253404165e-08,2.7595471900349785e-08,1.704148160756763e-08,1.5454332649937387e-08,109984.95336019136,2.6680337315573066e-10,101790.75535106336,305372.2660531901,0.01
4,0.0,10.0,2.692969788209494e-15,3.158763169957703e-08,3.26981538806354e-08,3.4778533421272024e-09,1.4628689195185463e-10,89681.26783075466,2.415089448365463e-10,101790.75535106336,305372.2660531901,0.01
5,0.0,12.0,2.8311699993841487e-15,3.251032750994149e-08,3.2746447506561676e-08,7.097659862245299e-10,1.406018888898793e-12,73125.72587708058,2.0703136128637966e-10,101790.75535106336,305372.2660531901,0.01
6,1e-08,2.0,2.1328298042803337e-08,0.0,0.0,2.021102574410535e-06,0.02297643068038887,203581.51067959433,0.0043420471357785385,101790.75533979716,305372.2660193915,0.01
7,1e-08,4.0,3.4189194827783506e-08,0.0,0.0,4.822644857961632e-07,0.00018719680629613862,165418.362614523,0.005655520627520867,101790.75533979716,305372.2660193915,0.01
8,1e-08,6.0,4.6271764179657346e-08,0.0,0.0,2.6857932670913517e-07,1.7558361827515477e-06,134885.39256348563,0.006241385075978114,101790.75533979716,305372.2660193915,0.01
9,1e-08,8.0,5.9495526626725633e-08,0.0,0.0,2.5583679834912514e-07,1.1445335577125217e-07,109984.95331961616,0.0065436127187663996,101790.75533979716,305372.2660193915,0.01
10,1e-08,10.0,7.468505718247716e-08,0.0,0.0,2.552922845571089e-07,1.0859592365051941e-07,89681.26783147457,0.006697850616190728,101790.75533979716,305372.2660193915,0.01
11,1e-08,12.0,9.305180897652295e-08,0.0,0.0,2.5526958073667365e-07,1.1617836611501154e-07,73125.72588041714,0.006804481075894157,101790.75533979716,305372.2660193915,0.01
12,1e-05,2.0,2.1762292880243406e-05,4.584498951982273e-06,0.0,8.008823448887275e-06,0.023021679881184344,203581.4695511398,4.43039956536226,101790.7347755699,305372.20432670973,2.21519978268113
13,1e-05,4.0,3.460103491051578e-05,4.665908074994018e-06,0.0,7.764592715098721e-06,0.00025268312341379065,165418.30943851674,5.723644699720619,101790.7347755699,305372.20432670973,2.21519978268113
14,1e-05,6.0,4.710346789638591e-05,4.669354328496618e-06,0.0,7.754253815661684e-06,8.2914326005151e-05,134885.41551606767,6.353570839451767,101790.7347755699,305372.20432670973,2.21519978268113
15,1e-05,8.0,6.091095889276184e-05,4.66949796226574e-06,0.0,7.75382290857018e-06,9.189011242152646e-05,109985.0260329308,6.6992933995111885,101790.7347755699,305372.20432670973,2.21519978268113
16,1e-05,10.0,7.695377115046608e-05,4.6695039446866674e-06,0.0,7.753804961066495e-06,0.0001003835766137633,89681.34501097715,6.901317700440728,101790.7347755699,305372.20432670973,2.21519978268113
17,1e-05,12.0,9.49661540420132e-05,4.669504193850689e-06,0.0,7.753804213564399e-06,0.00010749197606343958,73125.75562403793,6.944471773031,101790.7347755699,305372.20432670973,2.21519978268113
18,0.01,2.0,0.021526216682782182,0.007096317635647049,0.0,0.00023564745723990053,0.06924130986997978,203688.4837229372,4384.642436407298,101844.2418614686,305532.7255844058,2192.321218203649
19,0.01,4.0,0.0341599197199113,0.0070963203771713034,0.0,0.0002356392861291824,0.06674073773969526,165638.901423197,5658.211575110711,101844.2418614686,305532.7255844058,2192.321218203649
20,0.01,6.0,0.04628934068688296,0.007096320491355966,0.0,0.00023563894580189436,0.08140861012433778,135026.14474901845,6250.271215923687,101844.2418614686,305532.7255844058,2192.321218203649
21,0.01,8.0,0.05990065332135283,0.007096320496111683,0.0,0.00023563893162748605,0.09293839602674685,110139.69103866915,6597.439449828232,101844.2418614686,305532.7255844058,2192.321218203649
22,0.01,10.0,0.07480130804744736,0.007096320496309756,0.0,0.00023563893103713162,0.10238607065336484,90044.94744197218,6735.479851723168,101844.2418614686,305532.7255844058,2192.321218203649
23,0.01,12.0,0.09257605739262519,0.0070963204963180055,0.0,0.0002356389310125438,0.11040764496491658,73518.13490446613,6806.019076314617,101844.2418614686,305532.7255844058,2192.321218203649
