noise_level,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,Classification_approx,Classification_exact,ClassificationTrue
0.0,-2.0229627778895788e-05,-4.428170168890706e-05,-0.00017708805308304558,-0.03601541211350332,nonunique,nonunique,unique
1e-10,-2.030863056654399e-05,-4.441108016079302e-05,-0.0001770774836618237,-0.03601549592564428,nonunique,nonunique,unique
1e-09,-2.096321644263066e-05,-4.5593427979271965e-05,-0.00017688703444989067,-0.036016294392742614,nonunique,nonunique,unique
1e-08,-2.810789441507129e-05,-5.9251990772288565e-05,-0.00017216388234106162,-0.03602378631232545,nonunique,nonunique,unique
1e-07,-9.322247559380111e-05,-0.00018350875448074058,-0.00011637609665421367,-0.036078948933012216,nonunique,nonunique,unique
1e-06,-0.0007343149941800091,-0.0008745113294720492,0.0004894844950827394,-0.03666407155945788,unique,nonunique,unique
1e-05,-0.004701719816034418,-0.004969255034518496,0.004487715365515895,-0.044545392324889695,unique,nonunique,unique
0.0001,-0.010912373143795647,-0.014751164070801456,0.013909569366709685,-0.19095365664252484,unique,nonunique,unique
0.001,-0.005413727921536788,-0.023057566628820837,0.022006488564777365,-0.7528400627918184,unique,nonunique,unique
0.01,3.3599205436348964e-05,-0.010038378085952475,0.009728529632826626,-0.73680940806061,unique,nonunique,unique
