,True_Class,Pred_Class,C2,noise_level,experiment,fd_order,ratio,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,sv_max,sv_min,C,C1,Correct_Classification
36,non unique,,0.31254014095032007,1e-05,linear_nonunique_1,2.0,5.585387282855898e-05,4.155056597909588e-05,0.0,7.535084875081213e-05,0.0009475757857719296,3125.4014095032003,0.17456577286459074,1562.7007047516001,4688.102114254801,False
37,non unique,,0.31254014095032007,1e-05,linear_nonunique_1,4.0,7.965866588133843e-05,4.600788229048879e-05,2.9387549425256493e-05,6.197734281192496e-05,0.00011184657345209949,2921.428417506243,0.2327170902063771,1562.7007047516001,4688.102114254801,False
38,non unique,,0.31254014095032007,1e-05,linear_nonunique_1,6.0,9.626871870221556e-05,4.603013743527588e-05,2.1559429034287756e-05,6.191057080000189e-05,0.00013533710915576572,2731.7955878214175,0.26298646099593365,1562.7007047516001,4688.102114254801,False
39,non unique,,0.31254014095032007,1e-05,linear_nonunique_1,8.0,0.00011040451328876733,4.603023773346066e-05,1.5481094355208532e-05,6.19102698758311e-05,0.00015357792230161064,2554.4713956259884,0.2820251711441655,1562.7007047516001,4688.102114254801,False
40,non unique,,0.31254014095032007,1e-05,linear_nonunique_1,10.0,0.00012338452179859694,4.6030238185235036e-05,1.0613012079051304e-05,6.191026852037456e-05,0.00016818746135288114,2388.6567383796555,0.29472326940597005,1562.7007047516001,4688.102114254801,False
41,non unique,,0.31254014095032007,1e-05,linear_nonunique_1,12.0,0.0001360422225669595,4.6030238187269975e-05,6.553629458023285e-06,6.191026851426916e-05,0.00018037045739283705,2233.605320528314,0.30386463214205783,1562.7007047516001,4688.102114254801,False
42,non unique,,0.8822104362883427,0.0001,linear_nonunique_1,2.0,0.0005645427632013421,0.00012424848337800937,0.0,0.00019181026962654962,0.001551609502061288,3125.398087774993,1.7644208725766855,1562.6990438874966,4688.09713166249,False
43,non unique,,0.8822104362883427,0.0001,linear_nonunique_1,4.0,0.0008054793249334182,0.00012586480747130962,0.0,0.0001869597609502,0.0010160424274673892,2921.427002432464,2.353149049761561,1562.6990438874966,4688.09713166249,False
44,non unique,,0.8822104362883427,0.0001,linear_nonunique_1,6.0,0.0009738568705720808,0.00012587218275482743,0.0,0.00018693762823282994,0.0012365708616956098,2731.8035152522457,2.660385622381362,1562.6990438874966,4688.09713166249,False
45,non unique,,0.8822104362883427,0.0001,linear_nonunique_1,8.0,0.0011159499432753287,0.0001258722159773042,0.0,0.0001869375285344706,0.0014030418206541129,2554.4809084343656,2.8506728248652404,1562.6990438874966,4688.09713166249,False
46,non unique,,0.8822104362883427,0.0001,linear_nonunique_1,10.0,0.0012469413748170237,0.00012587221612694828,0.0,0.000186937528085399,0.0015364333520403466,2388.6631558174895,2.978522919489831,1562.6990438874966,4688.09713166249,False
47,non unique,,0.8822104362883427,0.0001,linear_nonunique_1,12.0,0.001375147878883648,0.00012587221612762233,0.0,0.00018693752808337627,0.0016477089819837087,2233.6010000476667,3.071531677487944,1562.6990438874966,4688.09713166249,False
48,non unique,,8.806767509231632,0.001,linear_nonunique_1,2.0,0.005635446382756568,0.0016707719828048739,0.0,0.000622478300211628,0.008454751863193704,3125.4906572010777,17.613535018463264,1562.7453286005389,4688.235985801617,False
49,non unique,,8.806767509231632,0.001,linear_nonunique_1,4.0,0.008038879638490062,0.0016712651979739295,0.0,0.0006209989793579844,0.011288340761720524,2921.5505088863824,23.485992898707018,1562.7453286005389,4688.235985801617,False
50,non unique,,8.806767509231632,0.001,linear_nonunique_1,6.0,0.009719333346706362,0.0016712674222212974,0.0,0.0006209923080931748,0.013787516193455775,2732.0281824311155,26.553492617644313,1562.7453286005389,4688.235985801617,False
51,non unique,,8.806767509231632,0.001,linear_nonunique_1,8.0,0.011144142692132415,0.0016712674322400323,0.0,0.0006209922780436242,0.015674654623182144,2554.65585098445,28.46944933266167,1562.7453286005389,4688.235985801617,False
52,non unique,,8.806767509231632,0.001,linear_nonunique_1,10.0,0.012456752751669088,0.0016712674322851599,0.0,0.0006209922779082719,0.017191080837803557,2388.847850656854,29.757287036988554,1562.7453286005389,4688.235985801617,False
53,non unique,,8.806767509231632,0.001,linear_nonunique_1,12.0,0.013740350209543511,0.001671267432285363,0.0,0.0006209922779076623,0.01845907476345565,2233.8630514857473,30.694060647573696,1562.7453286005389,4688.235985801617,False
54,non unique,,88.34735998403505,0.01,linear_nonunique_1,2.0,0.05643848204166825,0.018121349056175167,0.0,0.0020416723324343036,0.0891408666505237,3130.748977933483,176.6947199680701,1565.3744889667414,4696.123466900224,False
55,non unique,,88.34735998403505,0.01,linear_nonunique_1,4.0,0.08035953215744829,0.01812150136723904,0.0,0.002041221391845213,0.1367440509510738,2930.8985665768596,235.52563761105225,1565.3744889667414,4696.123466900224,False
56,non unique,,88.34735998403505,0.01,linear_nonunique_1,6.0,0.09701225698644486,0.01812150205337008,0.0,0.0020412193604487988,0.17183677401941272,2744.6688421118843,266.26651905364616,1565.3744889667414,4696.123466900224,False
57,non unique,,88.34735998403505,0.01,linear_nonunique_1,8.0,0.11085116868383893,0.018121502056460622,0.0,0.002041219351298772,0.19966481429505945,2570.62513820011,284.95680081753716,1565.3744889667414,4696.123466900224,False
