,True_Class,Pred_Class,C2,noise_level,fd_order,experiment,Correct_Classification
79,non unique,,1e-05,0.01,8,algebraic_nonunique_kdv,False
80,non unique,,1e-06,0.0,8,algebraic_nonunique_kdv,False
81,non unique,,1e-06,1e-10,8,algebraic_nonunique_kdv,False
82,non unique,,1e-06,1e-09,8,algebraic_nonunique_kdv,False
83,non unique,,1e-06,1e-08,8,algebraic_nonunique_kdv,False
84,non unique,,1e-06,1e-07,8,algebraic_nonunique_kdv,False
85,non unique,,1e-06,1e-06,8,algebraic_nonunique_kdv,False
86,non unique,,1e-06,1e-05,8,algebraic_nonunique_kdv,False
87,non unique,,1e-06,0.0001,8,algebraic_nonunique_kdv,False
88,non unique,,1e-06,0.001,8,algebraic_nonunique_kdv,False
89,non unique,,1e-06,0.01,8,algebraic_nonunique_kdv,False
0,non unique,non unique,1.0,0.0,8,algebraic_nonunique_1,True
1,non unique,non unique,1.0,1e-10,8,algebraic_nonunique_1,True
2,non unique,non unique,1.0,1e-09,8,algebraic_nonunique_1,True
3,non unique,non unique,1.0,1e-08,8,algebraic_nonunique_1,True
4,non unique,non unique,1.0,1e-07,8,algebraic_nonunique_1,True
5,non unique,non unique,1.0,1e-06,8,algebraic_nonunique_1,True
6,non unique,,1.0,1e-05,8,algebraic_nonunique_1,False
7,non unique,,1.0,0.0001,8,algebraic_nonunique_1,False
8,non unique,,1.0,0.001,8,algebraic_nonunique_1,False
9,non unique,,1.0,0.01,8,algebraic_nonunique_1,False
10,non unique,non unique,0.5,0.0,8,algebraic_nonunique_1,True
11,non unique,non unique,0.5,1e-10,8,algebraic_nonunique_1,True
12,non unique,non unique,0.5,1e-09,8,algebraic_nonunique_1,True
13,non unique,non unique,0.5,1e-08,8,algebraic_nonunique_1,True
14,non unique,non unique,0.5,1e-07,8,algebraic_nonunique_1,True
15,non unique,,0.5,1e-06,8,algebraic_nonunique_1,False
16,non unique,,0.5,1e-05,8,algebraic_nonunique_1,False
17,non unique,,0.5,0.0001,8,algebraic_nonunique_1,False
18,non unique,,0.5,0.001,8,algebraic_nonunique_1,False
19,non unique,,0.5,0.01,8,algebraic_nonunique_1,False
20,non unique,non unique,0.25,0.0,8,algebraic_nonunique_1,True
21,non unique,non unique,0.25,1e-10,8,algebraic_nonunique_1,True
22,non unique,non unique,0.25,1e-09,8,algebraic_nonunique_1,True
23,non unique,non unique,0.25,1e-08,8,algebraic_nonunique_1,True
24,non unique,non unique,0.25,1e-07,8,algebraic_nonunique_1,True
25,non unique,,0.25,1e-06,8,algebraic_nonunique_1,False
