,noise_level,order,ratio,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,sv_max,sv_min,C,C1,C2
0,0.0,2.0,0.3547983470443549,0.11817153071296692,0.11596489858694065,0.0002538312982707014,0.006224770093012127,1608.4181607985158,570.6641048074349,804.2090803992579,2412.627241197774,285.33205240371746
1,0.0,4.0,0.37034178506912185,0.11824681132708559,0.11824690766148878,5.179184231580801e-05,5.153336803859065e-05,1508.800783010975,558.7719752939732,804.2090803992579,2412.627241197774,285.33205240371746
2,0.0,6.0,0.38728082669938735,0.11826217596316459,0.11826594424978372,1.0569328048248671e-05,4.599042320456778e-07,1411.3055611086877,546.5715844316153,804.2090803992579,2412.627241197774,285.33205240371746
3,0.0,8.0,0.405821492644127,0.11826531165505687,0.11826611409478224,2.156987578857617e-06,4.256596996543084e-09,1315.9907506447146,534.0573307325031,804.2090803992579,2412.627241197774,285.33205240371746
4,1e-08,2.0,0.35479834726994386,0.11817152425258441,0.11596487987349823,0.0002538488432819551,0.006224821337496538,1608.4181611537551,570.6641052963146,804.2090805768776,2412.6272417306327,285.3320526481573
5,1e-08,4.0,0.3703417854355555,0.11824677939898771,0.11824687943620617,5.1877710204388874e-05,5.1609300867052165e-05,1508.8007830414476,558.7719758581339,804.2090805768776,2412.6272417306327,285.3320526481573
6,1e-08,6.0,0.38728082644888284,0.1182620220955559,0.11826590958376103,1.0982326062475557e-05,5.531054801957318e-07,1411.3055611665102,546.5715841004704,804.2090805768776,2412.6272417306327,285.3320526481573
7,1e-08,8.0,0.4058214925180802,0.11826474347787203,0.11826607410285638,3.6814640788584545e-06,1.1174566734413196e-07,1315.990750815263,534.057330635839,804.2090805768776,2412.6272417306327,285.3320526481573
8,1e-05,2.0,0.35479836816711835,0.1181649203195666,0.11594520358794325,0.00027159648952656255,0.0062785100226277766,1608.418202273256,570.6641534968413,804.209101136628,2412.627303409884,285.33207674842066
9,1e-05,4.0,0.370341949970188,0.11822527544688158,0.1182166351020501,0.00010959800274959606,0.00013278515984449003,1508.8007085486674,558.7721965203148,804.209101136628,2412.627303409884,285.33207674842066
10,1e-05,6.0,0.3872808953775536,0.11822990963889757,0.1182288712612948,9.716231441323467e-05,9.994872768423454e-05,1411.305448659656,546.5716378081315,804.209101136628,2412.627303409884,285.33207674842066
11,1e-05,8.0,0.4058214608933569,0.1182301155866058,0.11822419377015164,9.660967068196999e-05,0.00011250070287697845,1315.9905990879718,534.0572274438047,804.209101136628,2412.627303409884,285.33207674842066
12,0.01,2.0,0.35641893354136456,0.11762489786678301,0.0945218620069938,0.0031813135932314365,0.0713082046548062,1608.94077030167,573.4569534821428,804.470385150835,2413.411155452505,286.7284767410714
13,0.01,4.0,0.3734724673713015,0.11762852229841245,0.08693805285482527,0.0031715124405674935,0.09644059884839315,1509.4421383505141,563.73507976398,804.470385150835,2413.411155452505,286.7284767410714
14,0.01,6.0,0.39174781137543013,0.11762867349623896,0.08049031104412639,0.0031711035784221854,0.11905019504880288,1412.021449864019,553.1563125993911,804.470385150835,2413.411155452505,286.7284767410714
15,0.01,8.0,0.4115472006157006,0.11762867979394695,0.07565873242788279,0.0031710865484621304,0.13680041003495919,1316.6637442378035,541.8692780932548,804.470385150835,2413.411155452505,286.7284767410714
